             Date       Close        High         Low        Open      Volume
9986   2020-07-22   94.783699   95.468224   94.130843   94.218537    89001600
9987   2020-07-23   90.469444   94.593649   89.655810   94.515694   197004400
9988   2020-07-24   90.245338   90.591259   86.864121   88.659485   185438800
9989   2020-07-27   92.384178   92.476749   91.088213   91.312324   121214000
9990   2020-07-28   90.866539   92.130842   90.861662   91.953008   103625600
9991   2020-07-29   92.608307   92.793448   91.314773   91.351312    90329200
9992   2020-07-30   93.728905   93.833652   91.368386   91.777638   158130000
9993   2020-07-31  103.541229  103.692262   98.245284  100.252582   374336800
9994   2020-08-03  106.150223  108.781138  105.131962  105.431589   308151200
9995   2020-08-04  106.859100  107.955316  105.614283  106.340224   173071600
9996   2020-08-05  107.246445  107.568003  106.111251  106.578973   121776800
9997   2020-08-06  110.988182  111.485135  106.988217  107.580172   202428800
9998   2020-08-07  108.464775  110.966213  107.664315  110.507411   198045600
9999   2020-08-10  110.041298  111.063837  107.378791  109.916834   212403600
10000  2020-08-11  106.768692  109.802141  106.507565  109.301857   187902400
10001  2020-08-12  110.317085  110.575770  107.669220  107.864451   165598000
10002  2020-08-13  112.269417  113.277314  111.212708  111.703236   210082000
10003  2020-08-14  112.169342  112.259637  110.351221  112.093689   165565200
10004  2020-08-17  111.876480  113.321216  111.246853  113.296810   119561600
10005  2020-08-18  112.808762  113.235836  111.290815  111.627596   105633600
10006  2020-08-19  112.950287  114.370617  112.855114  113.218735   145538000
10007  2020-08-20  115.456596  115.571297  112.974679  112.991764   126907200
10008  2020-08-21  121.406364  121.892007  116.408367  116.420566   338054800
10009  2020-08-24  122.858429  125.716175  120.984183  125.630751   345937600
10010  2020-08-25  121.850525  122.197069  120.120263  121.726068   211495600
10011  2020-08-26  123.507576  123.966377  122.101888  123.173239   163022400
10012  2020-08-27  122.031105  124.447126  120.881659  124.112789   155552400
10013  2020-08-28  121.833450  123.429484  121.608928  123.009731   187630000
10014  2020-08-31  125.965080  127.878382  122.997527  124.539879   225702700
10015  2020-09-01  130.982605  131.587841  127.419587  129.596444   151948100
10016  2020-09-02  128.268829  134.692035  123.973684  134.311329   200119000
10017  2020-09-03  117.999512  125.769830  117.628570  123.885827   257599600
10018  2020-09-04  118.077621  120.752327  108.247582  117.208830   332607200
10019  2020-09-08  110.131607  116.154580  109.994944  111.234678   231366600
10020  2020-09-09  114.524368  116.300999  112.513459  114.465800   176940500
10021  2020-09-10  110.785637  117.628597  109.819230  117.491934   182274400
10022  2020-09-11  109.331146  112.484182  107.378804  111.839905   180860300
10023  2020-09-14  112.611084  113.167501  110.112089  111.986335   140150100
10024  2020-09-15  112.786789  115.998392  110.902779  115.510307   184642000
10025  2020-09-16  109.458054  113.235838  109.370202  112.484190   154679000
10026  2020-09-17  107.710701  109.526380  106.119545  107.105480   178011000
10027  2020-09-18  104.294090  108.237821  103.561962  107.769264   287104900
10028  2020-09-21  107.456894  107.564273  100.643218  102.048906   195713800
10029  2020-09-22  109.145660  110.170643  106.558814  109.994932   183055400
10030  2020-09-23  104.567413  109.438503  104.225748  108.960182   150718700
10031  2020-09-24  105.641220  107.622846  102.497948  102.663896   167743300
10032  2020-09-25  109.604462  109.760653  105.104313  105.846205   149981400
10033  2020-09-28  112.220596  112.572018  110.092544  112.269408   137672400
10034  2020-09-29  111.371330  112.562260  110.863725  111.820375    99382200
10035  2020-09-30  113.050339  114.465791  110.912530  111.078477   142675200
10036  2020-10-01  114.007004  114.914843  113.069881  114.836748   116120400
10037  2020-10-02  110.326828  112.620835  109.545896  110.199928   144712000
10038  2020-10-05  113.723907  113.870335  110.844206  111.195628   106243800
10039  2020-10-06  110.463509  113.352974  109.575189  112.942976   161498200
10040  2020-10-07  112.337753  112.796555  111.410386  111.888716    96849000
10041  2020-10-08  112.230362  113.626287  111.859412  113.479859    83477200
10042  2020-10-09  114.182686  114.211970  112.181533  112.532955   100506900
10043  2020-10-12  121.435661  122.197073  116.437664  117.199076   240226800
10044  2020-10-13  118.214302  122.402076  116.798857  122.284933   262330500
10045  2020-10-14  118.302147  120.098298  116.769559  118.116672   150712000
10046  2020-10-15  117.833580  118.311902  115.334585  115.891002   112559200
10047  2020-10-16  116.183861  118.653579  115.978866  118.390009   115393800
10048  2020-10-19  113.216293  117.550487  112.903919  117.101449   120639300
10049  2020-10-20  114.709839  116.144811  112.874633  113.431050   124423700
10050  2020-10-21  114.085083  115.881234  113.675086  113.889844    89946000
10051  2020-10-22  112.991776  115.227208  111.859414  114.651263   101988000
10052  2020-10-23  112.298683  113.772703  111.556791  113.616512    82572600
10053  2020-10-26  112.308456  113.772713  110.190160  111.293238   111850700
10054  2020-10-27  113.821533  114.485330  111.810623  112.737983    92276800
